ID,plane,src,dest,flightnr,callsign,start,endTime
330,330,IST,MUC,TK1629,THY10E,1662969158,1662969810
331,331,BUD,MUC,LH1675,DLH3KX,1662969210,1662969375
332,332,,,,N544AR,1662969208,1662969208
333,333,MAN,MUC,LH2505,DLH9ME,1662969188,1662969350
334,334,MAD,MUC,LH1807,DLH28Y,1662969207,1662969238
335,335,HAM,,,DESPO,1662969209,1662969209
336,336,MUC,FRA,LH99,DLH1KR,1662969210,1662973470
337,337,,,,PC12,1662969162,1662969162
338,338,OPO,MUC,LH1789,DLH44U,1662969208,1662969219
339,339,MUC,MLA,LH1924,DLH2NH,1662969187,1662973614
340,340,RHO,MUC,A3476,AEE6SU,1662969176,1662969176
341,341,MUC,DEB,LH1686,DLH1686,1662969201,1662973614
342,342,MUC,DOH,QR60,QTR97P,1662969201,1662975096
343,343,,,,FA8X,1662969170,1662969170
344,344,LUG,,,DEFPY,1662969210,1662969210
345,345,MUC,RIX,BT222,BTI8ED,1662969209,1662973613
346,346,MUC,ORD,LH436,DLH436,1662969208,1664276135
347,347,LIN,BER,SLJ909,SLJ909,1662969210,1662970988
348,348,TLS,PRG,V72094,VOE20BH,1662969208,1662971506
349,349,MUC,MXP,U22552,EJU63NT,1662969209,1662971513
350,350,DEN,MUC,LH481,DLH481,1662969210,1662969662
351,351,CPH,MUC,LH2439,DLH7MM,1662969209,1662971480
352,352,HAM,ZAD,FR8462,RYR4RA,1662969209,1662972571
353,353,YYZ,ATH,TS698,TSC698,1662969209,1662973614
354,354,BRU,MUC,LH2283,DLH6RA,1662969209,1662969862
355,355,ATH,FRA,A313,AEE13,1662969209,1662972098
356,356,HAM,MUC,LH2051,DLH4X,1662969208,1662969833
357,357,FRA,VCE,LH324,DLH6NJ,1662969206,1662969717
358,358,,,,C525,1662969210,1662969210
359,359,STN,CHQ,FR7608,RYR84JB,1662969209,1662973614
360,360,ZRH,GRZ,LX1512,SWR895T,1662969210,1662971131
361,361,TSF,WRO,FR1881,RYR1881,1662969208,1662973297
362,362,BUD,BLQ,FR7549,RYR66VB,1662969208,1662970474
363,363,ORD,MUC,UA953,UAL953,1662969209,1662969739
364,364,NCL,CFU,LS527,EXS527,1662969208,1662973613
365,365,LUX,HER,,LRQ535E,1662969208,1662969208
366,366,ZRH,DRS,LX918,SWR48Y,1662969209,1662970612
367,367,OBF,,,DEODW,1662969188,1662969188
368,368,,,,OKWSM,1662969208,1662969208
369,369,NTE,VCE,V72212,VOE22BF,1662969209,1662969394
370,370,ESB,MUC,XQ714,SXS57K,1662969208,1662969859
371,371,VCE,,,SWR770J,1662969205,1662969205
372,372,VCE,LGW,U28065,EZY73NF,1662969210,1662973611
373,373,VCE,BCN,VY6401,VLG96AA,1662969209,1662973614
374,374,VCE,,,,1662969139,1662969139
375,375,MUC,GOT,LH2428,DLH7AE,1662969209,1662973612
376,376,BRU,SPU,,ENT56HT,1662969210,1662969210
377,377,,,,DKYGL,1662969209,1662969209
378,378,BHX,SKG,BY7156,TOM6KW,1662969209,1662973612
379,379,BEG,STR,EW2943,EWG30CK,1662969208,1662971192
380,380,ATH,AMS,A3624,AEE624,1662969208,1662973612
381,381,,,,D7507,1662969203,1662969203
382,382,,,,DEWCC,1662969200,1662969200
383,383,LGW,BJV,BY328,TOM1VW,1662969208,1662973613
384,384,VCE,ORY,U24292,EJU62ZQ,1662969209,1662973614
385,385,RBM,,,DEJKU,1662969190,1662969190
386,386,MUC,DRS,LH2122,DLH9MN,1662969208,1662970434
387,387,FRA,LJU,LH1458,DLH8NT,1662969209,1662970669
388,388,SZG,OLB,,NJE5EC,1662969208,1662969208
389,389,BRS,PFO,U26261,EZY24GZ,1662969208,1662973612
390,390,VIE,MUC,LH2325,DLH07E,1662969208,1662969861
391,391,,,,DMSWS,1662969207,1662969207
392,392,BVA,CLJ,W63332,WZZ840,1662969207,1663253374
393,393,,,,IAM1420,1662969209,1662969209
394,394,LBA,BOJ,LS281,EXS6KU,1662969207,1662975097
395,395,CFU,FRA,DE1581,CFG6EL,1662969210,1662973470
396,396,AYT,SCN,XQ126,SXS38Y,1662969210,1662972664
397,397,ZQW,SOB,,AZE11L,1662969208,1662969208
398,398,IST,FRA,TK1587,THY41AB,1662969208,1662972923
399,399,LPL,DLM,U27107,EZY7107,1662969208,1663253375
400,400,DOH,MST,QR8265,QTR8265,1662969208,1662972900
401,401,MUC,TLL,LH2404,DLH2404,1662969208,1662973614
402,402,,,,,1662969208,1662969208
403,403,IST,DUS,TK1523,THY9RD,1662969208,1662972210
404,404,,,,F2TH,1662969208,1662969208
405,405,ZRH,AMM,LX5180,SWR5180,1662969210,1662973613
406,406,LTN,PFO,U22133,EZY25QG,1662969209,1662973612
407,407,IST,BRU,TK1937,THY2HM,1662969209,1662973057
408,408,JFK,DEL,AA292,AAL292,1662969208,1664276139
409,409,AMS,AYT,XC1972,CAI83WU,1662969208,1662973612
410,410,,,,OEKFB,1662969201,1662969201
411,411,DBV,ZRH,WK431,EDW431R,1662969210,1662972545
