ID,iatatag,name,country,lat,lon
4657,PRG,VÃ¡clav Havel Airport Prague,CZ,14.26,50.1008
4658,BRQ,Brno-TuÅany Airport,CZ,16.694400787353516,49.15129852294922
4659,VOD,Vodochody Airport,CZ,14.3958,50.216599
4660,ZBE,Zabreh Ostrava Airport,CZ,18.07830047607422,49.92829895019531
4661,TLV,Ben Gurion International Airport,IL,34.88669967651367,32.01139831542969
4662,BEV,Beersheba (Teyman) Airport,IL,34.722999572754,31.287000656128
4663,ETM,Ramon Airport,IL,35.011416,29.723694
4664,ETH,Eilat Airport,IL,34.960098,29.5613
4665,EIY,Ein Yahav Airfield,IL,35.20330047607422,30.62170028686523
4666,LLH,Reginaldo Hammer Airport,HN,-87.8988,15.4422
4667,HFA,Haifa International Airport,IL,35.04309844970703,32.80939865112305
4668,RPN,Ben Ya'akov Airport,IL,35.5718994140625,32.98099899291992
4669,KSW,Kiryat Shmona Airport,IL,35.599998474121094,33.21670150756836
4670,LLL,Lissadell Airport,AU,128.594,-16.661
4671,MTZ,Bar Yehuda Airfield,IL,35.38859939575195,31.32819938659668
4672,VTM,Nevatim Air Base,IL,35.012298584,31.208299636799996
4673,VDA,Ovda International Airport,IL,34.93579864501953,29.94029998779297
4674,MIP,Ramon Air Base,IL,34.66669845581055,30.776100158691406
4675,SDV,Sde Dov Airport,IL,34.7822,32.1147
4676,YOT,Yotvata Airfield,IL,35.0675,29.901111
4677,LMC,La Macarena Airport,CO,-73.78674,2.17565
4678,GZM,Xewkija Heliport,MT,14.2728,36.027199
4679,MLA,Malta International Airport,MT,14.4775,35.857498
4680,LMZ,Palma Airport,MZ,40.4702,-10.7506
4681,LNC,Lengbati Airport,PG,147.368638889,-6.384611111110001
4682,LNF,Munbil Airport,PG,141.220165,-4.855941
4683,LNM,Langimar Airport,PG,146.227083333,-7.22313888889
4684,MCM,Monaco Heliport,MC,7.41917,43.725601
4685,LNQ,Loani Airport,PG,150.5931,-10.5815
4686,LOF,Loen Airport,MH,168.2357,7.7575
4687,HOH,Hohenems-Dornbirn Airfield,AT,9.7,47.384998
4688,LOM,Francisco Primo de Verdad y Ramos Airport,MX,-101.9441,21.2581
4689,LOR,Lowe AHP (Fort Rucker) Heliport,US,-85.75119781,31.35580063
4690,GRZ,Graz Airport,AT,15.439599990844728,46.9911003112793
4691,INN,Innsbruck Airport,AT,11.344,47.260201
4692,KLU,Klagenfurt Airport,AT,14.3377,46.642502
4693,LNZ,Linz HÃ¶rsching Airport,AT,14.1875,48.2332
4694,SZG,Salzburg Airport,AT,13.0043001175,47.7933006287
4695,VIE,Vienna International Airport,AT,16.569700241089,48.110298156738
4696,AVR,Alverca Air Base,PT,-9.0301,38.883301
4697,SMA,Santa Maria Airport,PT,-25.17060089111328,36.97140121459961
4698,BGC,BraganÃ§a Airport,PT,-6.70713,41.8578
4699,BYJ,Beja Airport / Airbase,PT,-7.9324,38.078899
4700,BGZ,Braga Municipal Aerodrome,PT,-8.445139884949999,41.5871009827
4701,CHV,Aerodromo de Chaves,PT,-7.463064,41.722356
4702,CVU,Corvo Airport,PT,-31.1136,39.671501
4703,CAT,Cascais Airport,PT,-9.35523,38.724998
4704,FLW,Flores Airport,PT,-31.13139915466309,39.455299377441406
4705,FAO,Faro Airport,PT,-7.96590995789,37.0144004822
4706,GRW,Graciosa Airport,PT,-28.029800415039062,39.09220123291016
4707,HOR,Horta Airport,PT,-28.715900421142575,38.519901275634766
4708,TER,Lajes Airport,PT,-27.090799,38.761799
4709,FNC,Madeira Airport,PT,-16.7745,32.697899
4710,QLR,Monte Real Air Base,PT,-8.8875,39.828335
4711,PDL,JoÃ£o Paulo II Airport,PT,-25.6979007721,37.7411994934
4712,PIX,Pico Airport,PT,-28.441299,38.554298
4713,PRM,PortimÃ£o Airport,PT,-8.58396,37.1493
4714,OPO,Francisco de SÃ¡ Carneiro Airport,PT,-8.68138980865,41.2481002808
4715,PXO,Porto Santo Airport,PT,-16.3500003815,33.0733985901
4716,LIS,Humberto Delgado Airport (Lisbon Portela Airport),PT,-9.13592,38.7813
4717,SIE,Sines Airport,PT,-8.817301,37.941692
4718,SJZ,SÃ£o Jorge Airport,PT,-28.1758,38.665501
4719,VRL,Vila Real Airport,PT,-7.72047,41.2743
4720,VSE,Aerodromo Goncalves Lobato (Viseu Airport),PT,-7.88899,40.725498
4721,BNX,Banja Luka International Airport,BA,17.297500610351562,44.94139862060547
4722,OMO,Mostar International Airport,BA,17.84589958190918,43.282901763916016
4723,SJJ,Sarajevo International Airport,BA,18.331499099731445,43.82460021972656
4724,TZL,Tuzla International Airport,BA,18.72480010986328,44.45869827270508
4725,ARW,Arad International Airport,RO,21.261999130249023,46.17660140991211
4726,BCM,BacÄu Airport,RO,26.91029930114746,46.52190017700195
4727,BAY,MaramureÈ International Airport,RO,23.467252,47.660598
4728,BBU,BÄneasa International Airport,RO,26.102100372314453,44.50320053100586
4729,CND,Mihail KogÄlniceanu International Airport,RO,28.488300323486328,44.36220169067383
4730,CLJ,Cluj-Napoca International Airport,RO,23.686199,46.785198
4731,CSB,CaransebeÅ Airport,RO,22.25329971313477,45.41999816894531
4732,CRA,Craiova Airport,RO,23.888599395751953,44.31809997558594
4733,IAS,IaÅi Airport,RO,27.6205997467041,47.17850112915039
4734,LRO,Sharpe AAF,US,-121.272805556,37.8379166667
4735,OMR,Oradea International Airport,RO,21.90250015258789,47.025299072265625
4736,OTP,Henri CoandÄ International Airport,RO,26.085,44.5711111
4737,SBZ,Sibiu International Airport,RO,24.091299057006836,45.78559875488281
4738,SUJ,Satu Mare Airport,RO,22.88570022583008,47.70330047607422
4739,SCV,Suceava Stefan cel Mare Airport,RO,26.35409927368164,47.6875
4740,TCE,Tulcea Airport,RO,28.71430015563965,45.0625
4741,TGM,Transilvania TÃ¢rgu MureÅ International Airport,RO,24.412500381469727,46.46770095825195
4742,TSR,TimiÅoara Traian Vuia Airport,RO,21.337900161743164,45.80989837646485
4743,GVA,Geneva Cointrin International Airport,CH,6.108950138092041,46.23809814453125
