ICAOaddr,Lat,Lon,Heading,Alt,Speed,Squawk,Tailnr,Type,Reg,unk0,Src,Dest,Flightnr,unk1,unk2,Callsign,unk3,Airline
"A05646",50.61,2.22,125,37000,494,"1164","F-EBBR3","B78X","N12010",1618580034,"EWR","TLV","UA90",0,-64,"UAL90",0,"UAL"
"491185",50.16,-2.17,213,36950,460,"5242","F-EGGW2","F2TH","CS-DLE",1618580037,"FAB","TFS","",0,3072,"NJE693M",0,"NJE"
"",49.02,-0.75,26,36650,381,"5335","F-EGLK2","E55P","",1618580036,"","","",0,-1024,"E55P",0,""
"39C427",49.23,-0.53,277,36575,494,"5643","F-LFOV1","B789","F-HRBH",1618580036,"CDG","BOS","AF334",0,1152,"AFR334",0,"AFR"
"4078B8",51.53,-4.69,269,36575,481,"6305","F-EGNS2","A35K","G-XWBE",1618580035,"LHR","MIA","BA209",0,320,"BAW209",0,"BAW"
"C038AC",49.31,-0.84,278,36175,496,"0652","F-EGKK1","B789","C-FVLZ",1618580032,"CDG","YUL","AC871",0,1408,"ACA871",0,"ACA"
"46B821",50.15,5.95,303,36050,458,"3120","F-EDKA3","A21N","SX-NAA",1618580035,"ATH","LHR","A3602",0,-64,"AEE2EG",0,"AEE"
"471F68",51.06,9.17,285,36025,470,"3111","F-ETID3","A321","HA-LXG",1618580031,"BUD","LTN","W62205",0,0,"WZZ37",0,"WZZ"
"AA9093",51.43,-6.17,279,36000,456,"6315","F-EGVN1","B772","N780AN",1618580036,"LHR","PHL","AA729",0,0,"AAL729",0,"AAL"
"",52.80,6.31,247,36000,451,"1132","F-EGSH3","E55P","",1618580036,"","","",0,0,"E55P",0,""
"E48BA9",48.79,2.28,70,36000,458,"1000","F-EBBR3","B77W","PT-MUG",1618580037,"GRU","FRA","LA8070",0,0,"TAM8070",0,"LAN"
"4BA95A",50.50,10.68,284,36000,488,"3266","F-EDVM1","","",1618580036,"","","",0,0,"THY3UM",0,""
"3C4DCD",48.86,12.42,297,36000,454,"1000","F-LKPD5","CRJ9","D-ACNM",1618580037,"TSR","FRA","LH1471",0,0,"DLH7EP",0,"DLH"
"3965A3",51.90,4.93,215,36000,508,"3533","F-EBKT2","B77W","F-GZND",1618580034,"NRT","CDG","AF275",0,0,"AFR275",0,"AFR"
"4D2233",51.24,8.33,249,36000,453,"1111","F-EDKA1","B738","9H-QBY",1618580034,"BER","LIS","FR1142",0,0,"RYR68YD",0,"RYR"
"AA28F2",52.49,-7.64,279,36000,443,"2503","F-EINN2","B772","N754AN",1618580035,"FRA","ORD","AA9818",0,0,"AAL9818",0,"AAL"
"",51.01,-0.46,259,36000,470,"4427","F-EGXU1","CL35","",1618580037,"","","",0,0,"CL35",0,""
"C0293E",51.56,4.75,276,35975,505,"2536","F-EDDV5","B789","C-FPQB",1618580037,"FRA","ATL","AC7237",0,0,"ACA7237",0,"ACA"
"",50.95,3.19,103,35025,347,"0510","T-MLAT1","C525","",1618580036,"","","",0,0,"C525",0,""
"3965A9",50.78,-12.68,279,35000,419,"5644","F-EINN4","","",1618580033,"","","",0,0,"AFR054",0,""
"06A066",51.08,0.92,109,35000,471,"5212","F-LFQQ1","B77L","A7-BBA",1618580034,"ORD","DOH","QR724",0,0,"QTR7CB",0,"QTR"
"4D0113",51.92,-3.23,99,34975,476,"1142","F-EICD1","B748","LX-VCJ",1618580037,"JFK","LUX","",0,0,"CLX69Z",0,"CLX"
"3C6750",50.45,12.01,272,34975,434,"1000","F-LKKV1","A320","D-AIZP",1618580037,"WAW","FRA","LH1349",0,-1408,"DLH8HR",0,"DLH"
"4B17E1",50.07,9.06,186,34975,413,"1107","F-EDLI1","BCS1","HB-JBD",1618580036,"HAM","ZRH","LX1057",0,-64,"SWR109A",0,"SWR"
"C01074",51.80,-3.87,276,34750,478,"1414","F-EGTR2","B789","C-FGFZ",1618580036,"LHR","YYZ","AC857",0,1088,"ACA857",0,"ACA"
"449825",49.68,2.17,43,34575,428,"2360","F-LFAT2","FA7X","OO-FAE",1618580035,"BES","","",0,-2304,"BAF99",0,"BAF"
"3950CB",53.42,-4.51,93,34050,407,"6316","F-EGHH3","A318","F-GUGL",1618580036,"DUB","CDG","AF1817",0,2496,"AFR84UW",0,"AFR"
"C01755",52.07,-7.48,272,34000,451,"2523","F-EICM1","B77W","C-FIVS",1618580037,"FRA","YYZ","AC7211",0,0,"ACA7211",0,"ACA"
"503DBF",50.17,7.37,247,34000,461,"0504","F-EDRZ1","A320","LY-NVV",1618580037,"VNO","TFS","X9531",0,0,"NVD531",0,"NVD"
"06A2B0",49.08,-9.13,271,34000,452,"7517","F-EGHE3","B77W","A7-BEL",1618580037,"DOH","IAD","QR707",0,0,"QTR04C",0,"QTR"
"4CA9BA",52.78,-8.56,248,34000,429,"3607","F-EIKY1","A21N","EI-LRA",1618580036,"DUB","BOS","EI133",0,0,"EIN13J",0,"EIN"
"4BB154",53.99,-7.71,279,34000,444,"3275","F-EICM2","B77L","TC-LJT",1618580037,"ISL","JFK","TK6663",0,0,"THY6663",0,"THY"
"3965A1",50.05,-7.03,283,34000,433,"0650","F-EINN4","B77W","F-GZNB",1618580036,"CDG","JFK","AF6",0,64,"AFR006",0,"AFR"
"3C6441",49.11,11.75,296,33825,443,"1000","F-LKPR9","A319","D-AIBA",1618580037,"BUD","FRA","LH1339",0,-960,"DLH2FR",0,"DLH"
